municipality,barangay,district,lat,lon,elevation_m
Pozzorubio,PoblacionI,5,16.11972,120.53428,56.0
Pozzorubio,PoblacionII,5,16.115617,120.534817,49.0
Pozzorubio,PoblacionIII,5,16.12086,120.54196,57.0
Pozzorubio,PoblacionIV,5,16.11468,120.54258,56.0
Pozzorubio,Rosario,5,16.10018,120.56152,53.0
Pozzorubio,Sugcong,5,16.148117,120.546817,150.0
Pozzorubio,Talogtog,5,16.10945,120.534633,45.0
Pozzorubio,Tulnac,5,16.117529,120.525029,46.0
Pozzorubio,Villegas,5,16.141614,120.554571,85.0
Rosales,Acop,6,15.86822,120.65452,42.0
Rosales,Bakitbakit,6,15.8806,120.6515,35.0
Rosales,Balingcanaway,6,15.896867,120.651517,40.0
Rosales,CabalaoanganNorte,6,15.885,120.627157,32.0
Rosales,CabalaoanganSur,6,15.879786,120.634929,34.0
Rosales,Calanutan,6,15.86538,120.63548,31.0
Rosales,Camangaan,6,15.848967,120.634317,33.0
Rosales,CapitanTomas,6,15.909583,120.6458,35.0
Rosales,CarmayEast,6,15.91566,120.64044,33.0
Rosales,CarmayWest,6,15.913167,120.624417,30.0
Rosales,CarmenEast,6,15.88938,120.60206,28.0
Rosales,CarmenWest,6,15.88992,120.5942,28.0
Rosales,Casanicolasan,6,15.927971,120.641871,32.0
Rosales,Coliling,6,15.85408,120.62198,33.0
Rosales,DonAntonioVillage,6,15.898567,120.623,34.0
Rosales,Guiling,6,15.84982,120.6235,31.0
Rosales,Palakipak,6,15.864083,120.617833,32.0
Rosales,Pangaoan,6,15.83765,120.643483,33.0
Rosales,Rabago,6,15.85694,120.63296,30.0
Rosales,Rizal,6,15.924167,120.630889,30.0
Rosales,Salvacion,6,15.84498,120.66118,67.0
Rosales,SanAngel,6,15.8614,120.6575,65.0
Rosales,SanAntonio,6,15.85452,120.66194,74.0
Rosales,SanBartolome,6,15.877,120.613937,30.0
Rosales,SanIsidro,6,15.83744,120.62604,30.0
Rosales,SanLuis,6,15.84218,120.65192,44.0
Rosales,SanPedroEast,6,15.894833,120.64655,38.0
Rosales,SanPedroWest,6,15.89378,120.63666,36.0
Rosales,SanVicente,6,15.84742,120.67394,91.0
Rosales,StationDistrict,6,15.89274,120.62038,32.0
