municipality,barangay,district,lat,lon,elevation_m,soil_desc,soil_series,aez
Laoac,Botique,5,16.076333,120.553183,42.0,San Manuel fine sandy loam,San Manuel,Lowlands
Laoac,Caaringayan,5,16.03872,120.5523,26.0,San Manuel silty clay loam,San Manuel,Lowlands
Laoac,Cabilaoan West,5,16.023143,120.5419,23.0,San Manuel silty clay loam,San Manuel,Lowlands
Laoac,Cabulalaan,5,16.071222,120.542033,37.0,San Manuel fine sandy loam,San Manuel,Lowlands
Laoac,Calaoagan,5,16.06424,120.5325,34.0,San Manuel silty clay loam,San Manuel,Lowlands
Laoac,Calmay,5,16.035136,120.5117,23.0,San Manuel fine sandy loam,San Manuel,Lowlands
Laoac,Casampagaan,5,16.0512,120.551617,31.0,San Manuel silty clay loam,San Manuel,Lowlands
Laoac,Casanestebanan,5,16.0473,120.523786,20.0,San Manuel silt loam,San Manuel,Lowlands
Laoac,Casantiagoan,5,16.02328,120.56504,28.0,San Manuel fine sandy loam,San Manuel,Lowlands
Laoac,Domingo Alarcio,5,16.023383,120.55195,25.0,San Manuel silty clay loam,San Manuel,Lowlands
Laoac,Inmanduyan,5,16.04702,120.50936,19.0,San Manuel fine sandy loam,San Manuel,Lowlands
Laoac,Lebueg,5,16.028525,120.561337,29.0,San Manuel silty clay loam,San Manuel,Lowlands
Laoac,Maraboc,5,16.062956,120.521489,22.0,San Manuel fine sandy loam,San Manuel,Lowlands
Laoac,Nanbagatan,5,16.039675,120.5306,21.0,San Manuel silt loam,San Manuel,Lowlands
Laoac,Panaga,5,16.0816,120.547255,37.0,San Manuel silty clay loam,San Manuel,Lowlands
Laoac,Poblacion,5,16.062333,120.5482,32.0,San Manuel silty clay loam,San Manuel,Lowlands
Laoac,Talogtog,5,16.057771,120.529643,28.0,San Manuel silt loam,San Manuel,Lowlands
Laoac,Turko,5,16.074367,120.531508,30.0,San Manuel silty clay loam,San Manuel,Lowlands
Laoac,Yatyat,5,16.013517,120.557417,27.0,San Manuel fine sandy loam,San Manuel,Lowlands
Natividad,Barangobong,6,16.047371,120.780914,77.0,Umingan sandy loam,Umingan,Lowlands
Natividad,Batchelor East,6,16.0514,120.814783,120.0,Umingan sandy loam,Umingan,Lowlands
Natividad,Batchelor West,6,16.049067,120.806367,105.0,Umingan sandy loam,Umingan,Lowlands
Natividad,Burgos,6,16.028643,120.7789,74.0,San Manuel sandy loam,San Manuel,Lowlands
Natividad,Cacandungan,6,16.060467,120.834967,222.0,Annam clay loam,Annam,Uplands
Natividad,Calapugan,6,16.037378,120.812667,106.0,Umingan sandy loam,Umingan,Lowlands
Natividad,Canarem,6,16.037571,120.781371,76.0,Umingan sandy loam,Umingan,Lowlands
Natividad,Luna,6,16.0139,120.787238,80.0,San Manuel sand,San Manuel,Lowlands
Natividad,Poblacion East,6,16.04176,120.79306,88.0,Umingan sandy loam,Umingan,Lowlands
Natividad,Poblacion West,6,16.04678,120.79798,92.0,Umingan sandy loam,Umingan,Lowlands
Natividad,Rizal,6,16.042729,120.779243,72.0,Umingan sandy loam,Umingan,Lowlands
Natividad,Salud,6,16.053383,120.790067,85.0,Umingan sandy loam,Umingan,Lowlands
Natividad,San Eugenio,6,16.074025,120.829775,413.0,Annam clay loam,Annam,Uplands
Natividad,San Macario Norte,6,16.053092,120.84245,437.0,Annam clay loam,Annam,Uplands
Natividad,San Macario Sur,6,16.035614,120.8279,187.0,Annam clay loam,Annam,Uplands
Natividad,San Maximo,6,16.040156,120.803522,98.0,Umingan sandy loam,Umingan,Lowlands
Natividad,San Miguel,6,16.0219,120.79655,82.0,Umingan sandy loam,Umingan,Lowlands
Natividad,Silag,6,16.011586,120.782686,77.0,San Manuel sand,San Manuel,Lowlands
Pozorrubio,Alipangpang,5,16.112171,120.553243,56.0,San Manuel silty clay loam,San Manuel,Lowlands
Pozorrubio,Amagbagan,5,16.09131,120.53622,38.0,San Manuel silty clay loam,San Manuel,Lowlands
Pozorrubio,Balacag,5,16.13625,120.4776,91.0,San Fabian clay loam,San Fabian,Highlands
Pozorrubio,Banding,5,16.1039,120.54356,52.0,San Manuel silty clay loam,San Manuel,Lowlands
Pozorrubio,Bantugan,5,16.107988,120.52075,38.0,Umingan silt loam,Umingan,Lowlands
