municipality,barangay,district,lat,lon
Pozzorubio,Rosario,5,16.10018,120.56152
Pozzorubio,Sugcong,5,16.148117,120.546817
Pozzorubio,Talogtog,5,16.10945,120.534633
Pozzorubio,Tulnac,5,16.117529,120.525029
Pozzorubio,Villegas,5,16.141614,120.554571
Rosales,Acop,6,15.86822,120.65452
Rosales,Bakitbakit,6,15.8806,120.6515
Rosales,Balingcanaway,6,15.896867,120.651517
Rosales,CabalaoanganNorte,6,15.885,120.627157
Rosales,CabalaoanganSur,6,15.879786,120.634929
Rosales,Calanutan,6,15.86538,120.63548
Rosales,Camangaan,6,15.848967,120.634317
Rosales,CapitanTomas,6,15.909583,120.6458
Rosales,CarmayEast,6,15.91566,120.64044
Rosales,CarmayWest,6,15.913167,120.624417
Rosales,CarmenEast,6,15.88938,120.60206
Rosales,CarmenWest,6,15.88992,120.5942
Rosales,Casanicolasan,6,15.927971,120.641871
Rosales,Coliling,6,15.85408,120.62198
Rosales,DonAntonioVillage,6,15.898567,120.623
Rosales,Guiling,6,15.84982,120.6235
Rosales,Palakipak,6,15.864083,120.617833
Rosales,Pangaoan,6,15.83765,120.643483
Rosales,Rabago,6,15.85694,120.63296
Rosales,Rizal,6,15.924167,120.630889
Rosales,Salvacion,6,15.84498,120.66118
Rosales,SanAngel,6,15.8614,120.6575
Rosales,SanAntonio,6,15.85452,120.66194
Rosales,SanBartolome,6,15.877,120.613937
Rosales,SanIsidro,6,15.83744,120.62604
Rosales,SanLuis,6,15.84218,120.65192
Rosales,SanPedroEast,6,15.894833,120.64655
Rosales,SanPedroWest,6,15.89378,120.63666
Rosales,SanVicente,6,15.84742,120.67394
Rosales,StationDistrict,6,15.89274,120.62038
Rosales,TomanaEast,6,15.893543,120.612914
Rosales,TomanaWest,6,15.892029,120.608743
Rosales,ZoneI,6,15.888375,120.624075
Rosales,ZoneII,6,15.897429,120.628114
Rosales,ZoneIII,6,15.9049,120.620167
Rosales,ZoneIV,6,15.90526,120.62972
Rosales,ZoneV,6,15.8898,120.63062
San Manuel,Cabacaraan,6,16.05634,120.67174
San Manuel,Cabaritan,6,16.051075,120.658713
San Manuel,Flores,6,16.068733,120.6855
San Manuel,GuisetNorte,6,16.07238,120.66876
San Manuel,GuisetSur,6,16.065029,120.666714
San Manuel,Lapalo,6,16.144,120.631117
San Manuel,Nagsaag,6,16.06525,120.6565
San Manuel,Narra,6,16.099693,120.698064
San Manuel,SanAntonio-Arzadon,6,16.057914,120.689343
San Manuel,SanBonifacio,6,16.083056,120.679278
San Manuel,SanJuan,6,16.04944,120.67488
San Manuel,San Roque,6,16.153538,120.682758
San Manuel,SanVicente,6,16.062945,120.710409
San Manuel,Santo Domingo,6,16.055129,120.6444
SanNicolas,Bensican,6,16.159717,120.785383
SanNicolas,Cabitnongan,6,16.07854,120.77106
SanNicolas,Caboloan,6,16.08765,120.73284
SanNicolas,Cacabugaoan,6,16.107175,120.839363
SanNicolas,Calanutian,6,16.134363,120.68725
SanNicolas,Calaocan,6,16.080433,120.78185
SanNicolas,Camanggaan,6,16.0953,120.73158
SanNicolas,Camindoroan,6,16.117686,120.702914
SanNicolas,Casaratan,6,16.070667,120.7584
SanNicolas,Dalumpinas,6,16.143956,120.790278
SanNicolas,Fianza,6,16.1511,120.810767
SanNicolas,Lungao,6,16.085114,120.761486
SanNicolas,Malico,6,16.143675,120.829375
SanNicolas,Malilion,6,16.107267,120.745183
SanNicolas,Nagkaysa,6,16.06784,120.76056
SanNicolas,Nining,6,16.06404,120.7898
SanNicolas,PoblacionEast,6,16.074275,120.762375
SanNicolas,PoblacionWest,6,16.074267,120.75725
SanNicolas,Salingcob,6,16.110563,120.776525
SanNicolas,Salpad,6,16.18376,120.76676
SanNicolas,SanFelipeEast,6,16.173607,120.706553
SanNicolas,SanFelipeWest,6,16.148975,120.7008
SanNicolas,SanIsidro,6,16.116886,120.758243
SanNicolas,SanJose,6,16.057067,120.774167
SanNicolas,SanRafaelCentro,6,16.0757,120.734117
SanNicolas,SanRafaelEast,6,16.073867,120.749167
SanNicolas,SanRafaelWest,6,16.063025,120.7324
SanNicolas,SanRoque,6,16.060889,120.752922
SanNicolas,SantaMariaEast,6,16.1137,120.8093
SanNicolas,SantaMariaWest,6,16.09686,120.79538
SanNicolas,SantoTomas,6,16.099786,120.7175
SanNicolas,Siblot,6,16.069962,120.776913
SanNicolas,Sobol,6,16.0579,120.7426
SanQuintin,Alac,6,16.00235,120.798
SanQuintin,Baligayan,6,15.95046,120.7222
SanQuintin,Bantog,6,15.962786,120.813643
SanQuintin,Bolintaguen,6,15.98075,120.782086
SanQuintin,Cabalaoangan,6,15.9811,120.809014
SanQuintin,Cabangaran,6,16.01865,120.85517
SanQuintin,Calomboyan,6,15.98305,120.821517
SanQuintin,Carayacan,6,15.969754,120.827385
SanQuintin,Casantamarian,6,16.008445,120.864073
SanQuintin,Gonzalo,6,15.991667,120.865656
SanQuintin,Labuan,6,15.9487,120.73175
SanQuintin,Lagasit,6,15.997458,120.790825
SanQuintin,Lumayao,6,15.96647,120.74172
SanQuintin,Mabini,6,16.028263,120.855238
SanQuintin,Mantacdang,6,15.958912,120.758682
SanQuintin,Nangapugan,6,15.98223,120.87086
