municipality,barangay,district,lat,lon,elevation_m,avg_temp_c,annual_rainfall_mm
Rosales,Don Antonio Village,6,15.898567,120.623,34.0,27.09,2440.6
Rosales,Guiling,6,15.84982,120.6235,31.0,26.92,2561.4
Rosales,Palakipak,6,15.864083,120.617833,32.0,26.89,2561.4
Rosales,Pangaoan,6,15.83765,120.643483,33.0,27.13,2303.3
Rosales,Rabago,6,15.85694,120.63296,30.0,26.89,2587.8
Rosales,Rizal,6,15.924167,120.630889,30.0,27.11,2469.2
Rosales,Salvacion,6,15.84498,120.66118,67.0,27.05,2303.3
Rosales,San Angel,6,15.8614,120.6575,65.0,27.05,2303.3
Rosales,San Antonio,6,15.85452,120.66194,74.0,27.06,2303.3
Rosales,San Bartolome,6,15.877,120.613937,30.0,26.9,2721.2
Rosales,San Isidro,6,15.83744,120.62604,30.0,26.92,2587.8
Rosales,San Luis,6,15.84218,120.65192,44.0,27.1,2303.3
Rosales,San Pedro East,6,15.894833,120.64655,38.0,27.09,2469.2
Rosales,San Pedro West,6,15.89378,120.63666,36.0,27.1,2469.2
Rosales,San Vicente,6,15.84742,120.67394,91.0,27.02,2303.3
Rosales,Station District,6,15.89274,120.62038,32.0,27.11,2440.6
Rosales,Tomana East,6,15.893543,120.612914,34.0,27.1,2440.6
Rosales,Tomana West,6,15.892029,120.608743,28.0,27.12,2440.6
Rosales,Zone I,6,15.888375,120.624075,30.0,27.11,2440.6
Rosales,Zone II,6,15.897429,120.628114,35.0,27.1,2469.2
Rosales,Zone III,6,15.9049,120.620167,31.0,27.12,2440.6
Rosales,Zone IV,6,15.90526,120.62972,30.0,27.1,2469.2
Rosales,Zone V,6,15.8898,120.63062,39.0,27.1,2469.2
San Manuel,Cabacaraan,6,16.05634,120.67174,61.0,27.19,2222.9
San Manuel,Cabaritan,6,16.051075,120.658713,54.0,27.2,2222.9
San Manuel,Flores,6,16.068733,120.6855,68.0,27.18,2222.9
San Manuel,Guiset Norte,6,16.07238,120.66876,74.0,27.17,2222.9
San Manuel,Guiset Sur,6,16.065029,120.666714,68.0,27.18,2222.9
San Manuel,Lapalo,6,16.144,120.631117,325.0,25.18,2281.5
San Manuel,Nagsaag,6,16.06525,120.6565,66.0,27.18,2222.9
San Manuel,Narra,6,16.099693,120.698064,86.0,26.78,2222.9
San Manuel,San Antonio-Arzadon,6,16.057914,120.689343,62.0,27.19,2222.9
San Manuel,San Bonifacio,6,16.083056,120.679278,80.0,27.16,2222.9
San Manuel,San Juan,6,16.04944,120.67488,59.0,27.15,2222.9
San Manuel,San Roque,6,16.153538,120.682758,341.0,25.72,2481.8
San Manuel,San Vicente,6,16.062945,120.710409,66.0,27.18,2222.9
San Manuel,Santo Domingo,6,16.055129,120.6444,56.0,27.16,2222.9
San Nicolas,Bensican,6,16.159717,120.785383,457.0,24.68,2840.8
San Nicolas,Cabitnongan,6,16.07854,120.77106,97.0,26.59,2848.3
San Nicolas,Caboloan,6,16.08765,120.73284,79.0,26.79,2222.9
San Nicolas,Cacabugaoan,6,16.107175,120.839363,934.0,21.26,2600.1
San Nicolas,Calanutian,6,16.134363,120.68725,181.0,25.75,2481.8
San Nicolas,Calaocan,6,16.080433,120.78185,104.0,26.54,2848.3
San Nicolas,Camanggaan,6,16.0953,120.73158,83.0,26.74,2222.9
San Nicolas,Camindoroan,6,16.117686,120.702914,126.0,26.43,2407.8
San Nicolas,Casaratan,6,16.070667,120.7584,83.0,26.67,2848.3
San Nicolas,Dalumpinas,6,16.143956,120.790278,383.0,24.89,2840.8
San Nicolas,Fianza,6,16.1511,120.810767,826.0,22.42,2611.5
San Nicolas,Lungao,6,16.085114,120.761486,88.0,26.61,2848.3
San Nicolas,Malico,6,16.143675,120.829375,584.0,23.66,2840.8
San Nicolas,Malilion,6,16.107267,120.745183,98.0,26.56,2848.3
San Nicolas,Nagkaysa,6,16.06784,120.76056,85.0,26.65,2848.3
San Nicolas,Nining,6,16.06404,120.7898,93.0,26.62,2848.3
San Nicolas,Poblacion East,6,16.074275,120.762375,86.0,26.63,2848.3
San Nicolas,Poblacion West,6,16.074267,120.75725,83.0,26.68,2848.3
San Nicolas,Salingcob,6,16.110563,120.776525,243.0,25.65,2848.3
San Nicolas,Salpad,6,16.18376,120.76676,499.0,24.09,2840.8
San Nicolas,San Felipe East,6,16.173607,120.706553,281.0,25.82,2481.8
San Nicolas,San Felipe West,6,16.148975,120.7008,305.0,25.6,2481.8
San Nicolas,San Isidro,6,16.116886,120.758243,322.0,25.53,2407.8
San Nicolas,San Jose,6,16.057067,120.774167,77.0,26.7,2848.3
San Nicolas,San Rafael Centro,6,16.0757,120.734117,70.0,26.84,2222.9
San Nicolas,San Rafael East,6,16.073867,120.749167,77.0,26.69,2848.3
San Nicolas,San Rafael West,6,16.063025,120.7324,69.0,26.85,2222.9
San Nicolas,San Roque,6,16.060889,120.752922,74.0,26.74,2848.3
San Nicolas,Santa Maria East,6,16.1137,120.8093,318.0,25.38,2848.3
San Nicolas,Santa Maria West,6,16.09686,120.79538,230.0,25.83,2848.3
San Nicolas,Santo Tomas,6,16.099786,120.7175,81.0,26.76,2222.9
San Nicolas,Siblot,6,16.069962,120.776913,92.0,26.63,2848.3
San Nicolas,Sobol,6,16.0579,120.7426,72.0,26.77,2848.3
San Quintin,Alac,6,16.00235,120.798,105.0,26.63,2480.6
San Quintin,Baligayan,6,15.95046,120.7222,45.0,27.13,2344.7
San Quintin,Bantog,6,15.962786,120.813643,96.0,26.65,2606.4
San Quintin,Bolintaguen,6,15.98075,120.782086,74.0,26.83,2480.6
San Quintin,Cabalaoangan,6,15.9811,120.809014,104.0,26.63,2606.4
San Quintin,Cabangaran,6,16.01865,120.85517,921.0,21.28,2548.6
San Quintin,Calomboyan,6,15.98305,120.821517,116.0,26.52,2890.8
San Quintin,Carayacan,6,15.969754,120.827385,116.0,26.53,2606.4
San Quintin,Casantamarian,6,16.008445,120.864073,751.0,22.33,2805.8
